,거래 방식,지역,매물 종류,가격대,면적,특징
118,매매,강남구 타워팰리스2차 F동 저/55,아파트,300000,152/114,47 집주인직접  밝고 깨끗한 구조  반듯한 집 상태 최상 갭투자
119,매매,강남구 대림아크로빌 A동 저/46,아파트,285000,169/130,54특 올수리 깨끗한 집 입주 가능
120,매매,강남구 래미안블레스티지 220동 고/19,아파트,295000,113/84,34. 풀옵션  매매
121,매매,강남구 타워팰리스1차 D동 고/42,아파트,260000,112/84,35특올수리된남향 세안고 갭투자가능 반듯한 선호도 높은구조 매매
122,매매,강남구 테헤란로대우아이빌 1동 중/26,아파트,88000,79/59,급매 실입주되어 갭투자 가능 사이즈 좋은 투룸 내부 깔끔
123,매매,강남구 강남데시앙포레 105동 중/15,아파트,175000,81/59,"입주가능,올수리,붙박이장,깨끗,조용"
124,매매,강남구 아크로힐스논현 101동 고/30,아파트,260000,111/84,신축급 논현동 명품 아파트 수요자 많은 입주 가능 아파트
125,매매,강남구 삼성힐스테이트1단지 117동 고/22,아파트,130000,47/31,힐스테이트1단지 소형 깔끔한 집 매매
126,매매,강남구 대치한신휴플러스 101동 고/9,아파트,195000,105/84,집 상태양호.채광좋은 깨끗한집.추천합니다.
127,매매,강남구 삼성중앙하이츠빌리지 103동 중/19,아파트,274000,108/84,깔끔한 내부.올확장.탁트인시야.로얄층
128,매매,강남구 개포래미안포레스트 130동 고/19,아파트,290000,115/84,포레34세안고 급매 갭투자 대모산자락 숲조망
129,매매,강남구 디에이치아너힐즈 302동 고/28,아파트,240000,82/59,-
130,매매,강남구 래미안블레스티지 205동 저/20,아파트,225000,80/59,24 로얄중에 로얄.탄력적 입주가능. 개일초. 최고급 커뮤니티와 조중식 
131,매매,강남구 래미안개포루체하임 112동 저/23,아파트,225000,86/59,26 세안고 생활편리한동 초중학세권 더블역세권
132,매매,강남구 디에이치아너힐즈 303동 중/23,아파트,235000,83/59,25 l 선호동 선호타입 l 커뮤니티 인접 대중교통 편리
133,매매,강남구 청담대우멤버스카운티Ⅲ 1동 고/4,아파트,300000,166/144,"소유주분의 직접의뢰, 귀한 매물"
134,매매,강남구 거평 1동 중/7,아파트,250000,233/210,-
135,매매,강남구 디에이치아너힐즈 312동 고/21,아파트,235000,83/59,25 교통 학군우수 고급커뮤니티 강남최고신축아파트
136,매매,강남구 테헤란아이파크 105동 중/20,아파트,300000,117/92,직매물 남향으로 아주깨끗하고 입주가능해요
137,매매,강남구 강남데시앙포레 103동 고/15,아파트,190000,116/84,34전망시원함.세안고투자가능한 매물
138,매매,강남구 디에이치아너힐즈 315동 중/29,아파트,232000,82/59,"25,급매 입주  료얄층,대모산 뷰 개포역도보5분"
139,매매,강남구 한솔마을 107동 1/5,아파트,240000,110/84,"지분25.76 저층아파트,쾌적한단지,로얄동,입주가"
140,매매,강남구 논현e-편한세상 101동 9/11,아파트,230000,166/129,컨디션굿 입주가능 초역세권
141,매매,강남구 금호어울림 102동 14/15,아파트,240000,153/132,"집주인거주중  l 초특급 신규 확장 인테리어, 직접 확인하세요."
142,매매,강남구 강남데시앙포레 101동 6/13,아파트,175000,82/59,채광 좋은집
143,매매,강남구 삼성청담공원 107동 14/15,아파트,250000,132/107,청담동 숲세권 아파트 향후 역세권될 예정 투자 및 거주가치 높음
144,매매,강남구 삼성힐스테이트2단지 209동 17/22,아파트,290000,109/84,집주인 직접 거주로 컨디션 좋음 I 로얄동 I 각종 개발호재
145,매매,강남구 아나하(도시형) 1동 5/5,아파트,240000,36/24,논현 하이앤드 주거공간 고급빌라촌위치
146,매매,강남구 아나하(도시형) 1동 2/5,아파트,200000,90/62,논현 하이앤드 주거공간 고급빌라촌위치
147,매매,강남구 삼성힐스테이트2단지 202동 7/21,아파트,165000,56/40,-
148,매매,강남구 강남역이스턴(도시형) 1동 10/15,아파트,19500,23/14,초초급매 강남이스턴 매매
149,매매,강남구 삼성롯데 101동 11/20,아파트,268000,122/91,"채광 좋은 남향, 확장 내부상태 좋음,청담역 도보 5분."
150,매매,강남구 동현 4동 고/14,아파트,250000,102/84,집주인의뢰 재건축 호재 투자가치 우수
151,매매,강남구 개포래미안포레스트 109동 중/32,아파트,300000,115/84,투룸  원룸  분리세대형이며   접근성 우수한 친환경 단지
152,매매,강남구 래미안개포루체하임 109동 고/23,아파트,280000,114/84,"34,전세안고,전망최고 로얄층,역세권"
153,매매,강남구 쌍용플래티넘밸류 103동 저/15,아파트,200000,106/84,추천매물아파트 강남역 초역세권 3룸2욕실 수리 상태굿 투자가치굿
154,매매,강남구 래미안개포루체하임 109동 중/23,아파트,230000,86/59,25 내부상태 최상 단독 트인전망 입주가능
155,매매,강남구 개포래미안포레스트 101동 저/14,아파트,285000,115/84,"34,전세안고,가든조망권,이동편리"
156,매매,강남구 청담신원아침도시마인(도시형) 1동 중/10,아파트,33000,39/27,"12 빌트인옵션, 주택단지, 세안고 매매"
157,매매,강남구 청담자이 101동 중/32,아파트,230000,70/49,"로얄층, 한강전망, 인기구조, 입주협의"
158,매매,강남구 개포래미안포레스트 127동 중/21,아파트,227000,86/59,26 세안고 주인의뢰 바로계약 상가바로앞
159,매매,강남구 동현 2동 고/12,아파트,250000,102/84,"소유주분의 직접의뢰, 재건축 호재있는 단지로 강추"
160,매매,강남구 디에이치아너힐즈 304동 고/18,아파트,230000,82/59,25 올풀옵션 트인전망 상태좋습니다
161,매매,강남구 LH강남브리즈힐 403동 저/8,아파트,148000,116/84,입주가능. 올수리. 필로티공간 독점사용
162,매매,강남구 LH강남브리즈힐 403동 고/8,아파트,148000,116/84,"입주가능,인테리어최상,조망권우수"
163,매매,강남구 역삼디오빌 1동 중/26,아파트,35000,39/30,"갭투자, 남향, 고층, 선릉역삼역, 테헤란로"
164,매매,강남구 디에이치아너힐즈 316동 고/20,아파트,232000,82/59,"25, 풀옵션 숲세권아파트 개포동역도보5분"
165,매매,강남구 디에이치아너힐즈 315동 저/29,아파트,233000,83/59,"24, 입주가,대모산,호텔식커뮤니티,개포근린공원"
166,매매,강남구 개포래미안포레스트 120동 고/20,아파트,215000,86/59,26.막힘 없는 구룡산조망.숲속 정원에 위치한 쾌적한 판상형 구조임.
167,매매,강남구 역삼IPARK 201동 중/18,아파트,90000,36/28,"확장, 풀옵션, 원룸형아파트, 도성초, 진선여중"
168,매매,강남구 청담자이 102동 고/35,아파트,235000,71/49,"입주협의, 거실에서 롯데타워뷰 관람 가능"
169,매매,강남구 디에이치아너힐즈 315동 중/29,아파트,233000,82/59,25  대모산  개포동역 입주가능
170,매매,강남구 테헤란아이파크 104동 저/21,아파트,290000,117/92,"선릉역 초역세권, 실거주 또는 갭투자 가능, 확장형"
171,매매,강남구 더리버스청담 1동 고/5,아파트,139000,49/36,임대 안고 매매 가능 매물
172,매매,강남구 LH강남브리즈힐 410동 저/15,아파트,126000,102/74,-
173,매매,강남구 대림 102동 9/11,아파트,214000,104/84,남향 산조망로얄층 정상입주 인기좋은계단식구조 주변편의시설 가까운단지
174,매매,강남구 역삼래미안 112동 2/20,아파트,198000,80/59,직매물.  전세안고 매수
175,매매,강남구 디에이치아너힐즈 302동 15/28,아파트,235000,82/59,25추천 로얄동로얄층 협의입주가능 내집마련기회
176,매매,강남구 역삼래미안 112동 11/20,아파트,205000,80/59,"24,확장형,입주가능"
177,매매,강남구 역삼래미안 104동 12/22,아파트,213000,81/59,"입주가능, 확장형, 한티역, 학원가, 역삼중라인"
178,매매,강남구 상록수 207동 1/5,아파트,232000,90/74,27 입주가능 올수리 로얄동 역세권 추천매물
179,매매,강남구 역삼래미안 104동 12/22,아파트,213000,80/59,"한티역세권,역삼중.학원가인접단지.입주협의,확장"
180,매매,강남구 역삼럭키 101동 6/15,아파트,240000,112/84,"34 입주됨, 내부깔끔, 주인거주, 귀한매물, 강추합니다."
181,매매,강남구 래미안그레이튼3차 202동 20/21,아파트,230000,85/59,직매물 역삼중배정 확장 입주가능해요
182,매매,강남구 한신오페라하우스 102동 11/12,아파트,250000,147/123,확장  조용한단지 강남구청역세권 언북초학군 전망굿
183,매매,강남구 역삼럭키 104동 7/15,아파트,235000,112/84,"34 입주됨, 3년전올수리, 귀한매물, 강추합니다."
184,매매,강남구 역삼럭키 102동 9/15,아파트,240000,112/84,"34 입주됨, 올수리 로얄층 귀한매물 강추합니다."
185,매매,강남구 강남데시앙포레 113동 1/14,아파트,170000,82/59,필로티가 있는 1층으로  정원조망 굿  관리최상급 
186,매매,강남구 개포래미안포레스트 127동 6/21,아파트,230000,86/59,"26 전세안고 갭투자 최적매물, 구룡산 조망권, 숲세권아파트"
187,매매,강남구 역삼IPARK 201동 11/18,아파트,85000,36/28,확장 입주가능한 매매입니다.
188,매매,강남구 더블루 1동 5/10,아파트,110000,94/70,입주협의 내부상태매우깔끔합니다. 구조좋고 전용넓어서 미래가치있습니다
189,매매,강남구 하우스에딘브로우 B동 4/4,아파트,300000,183/162,"밸런스넘버원, 소유주분의 직접의뢰"
190,매매,강남구 영동한양1차 9동 9/12,아파트,245000,65/49,20.마지막매물. 조합원승계
191,매매,강남구 도곡쌍용예가 101동 11/12,아파트,240000,132/107,"40 입주됨, 남향 로얄층 시스템에어컨 귀한매물  강추합니다"
192,매매,강남구 역삼IPARK 201동 9/18,아파트,86000,36/28,확장 전세안고 매매입니다.
193,매매,강남구 래미안개포루체하임 102동 고/24,아파트,280000,114/84,"34,추천,입주가능,갭투자,판상형,학세권,역세권,추천매물"
194,매매,강남구 수서1-2단지 115동 저/15,아파트,158000,72/52,"입주가능한 귀한매물,올수리,남향,"
195,매매,강남구 개포래미안포레스트 126동 중/25,아파트,275000,101/74,30  주인세안고  갭투자가능  풀옵션  탁트인전망
196,매매,강남구 청솔빌리지 106동 중/3,아파트,210000,79/59,"24,채광 좋은 남향 집,멋진 대모산 뷰,모든 조건 협의합니다."
197,매매,강남구 삼성한일 101동 저/15,아파트,210000,108/80,삼성중앙역인근 내부깔끔 남향 입주협의
198,매매,강남구 까치마을 1003동 고/15,아파트,138000,56/39,특올수리 O입주또는 갭투자가능O사진첨부
